Date/Time,ETR (Wh/m^2),Electricity:Facility [kW](Hourly),Normalized Solar Energy [kWh],Normalized SE2
 01/14  11:00:00,538,1.2179263982,1.345,0.795
 01/14  12:00:00,607,1.1929014794,1.5175,0.754
 01/14  13:00:00,612,1.1504188684,1.53,0.745
 01/14  14:00:00,552,1.1049998585,1.38,0.725
 01/14  15:00:00,431,1.1002605935,1.0775,0.729
 01/14  16:00:00,257,1.1628093126,0.6425,0.748
 01/14  17:00:00,57,1.4218216004,0.1425,0.755
 01/14  18:00:00,0,1.9370871404,0,0.786
 01/14  19:00:00,0,2.2480149531,0,0.758
 01/14  20:00:00,0,2.2074339164,0,0.715
 01/14  21:00:00,0,2.0536253446,0,0.778
 01/14  22:00:00,0,1.8887732103,0,0.788
 01/14  23:00:00,0,1.5709634503,0,0.817
 01/14  24:00:00,0,1.253184581,0,0.87
 01/15  01:00:00,0,0.9343009698,0,0.916
 01/15  02:00:00,0,0.8131308275,0,0.929
 01/15  03:00:00,0,0.7666345065,0,0.943
 01/15  04:00:00,0,0.7557692283,0,0.952
 01/15  05:00:00,0,0.7549318569,0,0.971
 01/15  06:00:00,0,0.809637746,0,0.971
 01/15  07:00:00,0,1.0325104661,0,1.011
 01/15  08:00:00,37,1.3542901402,0.0925,1.044
 01/15  09:00:00,230,1.3412780188,0.575,1.047
 01/15  10:00:00,411,1.1956342587,1.0275,1.09
 01/15  11:00:00,541,1.2450190068,1.3525,1.097
 01/15  12:00:00,611,1.236884159,1.5275,1.116
 01/15  13:00:00,616,1.214390711,1.54,1.1
 01/15  14:00:00,556,1.1624073217,1.39,1.067
 01/15  15:00:00,435,1.1793710343,1.0875,1.067
 01/15  16:00:00,262,1.2877771634,0.655,1.066
 01/15  17:00:00,60,1.5622887339,0.15,1.022
 01/15  18:00:00,0,2.0846420228,0,1.066
 01/15  19:00:00,0,2.39550951,0,1.083
 01/15  20:00:00,0,2.3440503072,0,1.069
 01/15  21:00:00,0,2.1860023631,0,1.102
 01/15  22:00:00,0,2.01995372,0,1.106
 01/15  23:00:00,0,1.7074403062,0,1.124
 01/15  24:00:00,0,1.4172275154,0,1.068
 01/16  01:00:00,0,1.0864809299,0,1.123
 01/16  02:00:00,0,0.9616421644,0,1.115
 01/16  03:00:00,0,0.9237396461,0,1.109
 01/16  04:00:00,0,0.9201207956,0,1.145
 01/16  05:00:00,0,0.9307361416,0,1.042
 01/16  06:00:00,0,0.9789256656,0,1.069
 01/16  07:00:00,0,1.2235959732,0,1.065
 01/16  08:00:00,38,1.539964094,0.095,1.012
 01/16  09:00:00,232,1.4595181223,0.58,0.968
 01/16  10:00:00,414,1.2412631827,1.035,0.917
 01/16  11:00:00,544,1.2461095582,1.36,0.896
 01/16  12:00:00,615,1.2074361356,1.5375,0.94
 01/16  13:00:00,621,1.1616380442,1.5525,0.995
 01/16  14:00:00,561,1.1189782436,1.4025,1.079
 01/16  15:00:00,440,1.1239132219,1.1,1.2
 01/16  16:00:00,267,1.2041559111,0.6675,1.295
 01/16  17:00:00,63,1.4737600603,0.1575,1.4
 01/16  18:00:00,0,2.0169547462,0,1.42
 01/16  19:00:00,0,2.3288968058,0,1.433
 01/16  20:00:00,0,2.2950161262,0,1.43
